isin_prefix,company_name,nsdl_issuer,match_method,score
INE0J17,SANNUR BIKARNAKETTE HIGHWAYS PRIVATE LIMITED,SANNUR BIKARNAKETTE HIGHWAYS LIMITED,exact,100.0
INE0J47,National Asset Reconstruction Company Limited,NATIONAL ASSET RECONSTRUCTION COMPANY LIMITED,exact,100.0
INE0J72,Karnataka Resco Rooftop Solar Private Limited,KARNATAKA RESCO ROOFTOP SOLAR PRIVATE LIMITED,exact,100.0
INE0J7Q,DME Development Limited,DME DEVELOPMENT LIMITED,exact,100.0
INE0JCG,AMP Energy Green Fifteen Private Limited,AMP ENERGY GREEN FIFTEEN PRIVATE LIMITED,exact,100.0
INE0JCH,AMP Energy Green Twelve Private Limited,AMP ENERGY GREEN TWELVE PRIVATE LIMITED,exact,100.0
INE0JGT,Akamu Solar Energy Private Limited,AKAMU SOLAR ENERGY PRIVATE LIMITED,exact,100.0
INE0JJ3,JSW Shipping & Logistics Private Limited,JSW SHIPPING & LOGISTICS PRIVATE LIMITED,exact,100.0
INE0JKQ,AMP Energy Green Nine Private Limited,AMP ENERGY GREEN NINE PRIVATE LIMITED,exact,100.0
INE0JOC,INR Energy Ventures Private Limited,INR ENERGY VENTURES PRIVATE LIMITED,exact,100.0
INE0JOD,Newtap Finance Private Limited,NEWTAP FINANCE PRIVATE LIMITED,exact,100.0
INE0JR7,K. M. Global Credit Private Limited,K.M. GLOBAL CREDIT PRIVATE LIMITED,exact,100.0
INE0JSV,D.S.Integrated FinSec Private Limited,D.S. INTEGRATED FINSEC PRIVATE LIMITED,exact,100.0
INE0JTZ,Lavender Ecopower Private Limited,LAVENDER ECOPOWER PRIVATE LIMITED,exact,100.0
INE0JUJ,Dahlia Green Energy Private Limited,DAHLIA GREEN ENERGY PRIVATE LIMITED,exact,100.0
INE0JUK,Lilac Ecoenergy Private Limited,LILAC ECOENERGY PRIVATE LIMITED,exact,100.0
INE0JWA,BANGARUPALEM GUDIPALA HIGHWAYS LIMITED,BANGARUPALEM GUDIPALA HIGHWAYS LIMITED,exact,100.0
INE0JYX,ILP 3 India 2 Private Limited,ILP 3 INDIA 2 PRIVATE LIMITED,exact,100.0
INE0JYZ,Three Seasons Exim Limited,THREE SEASONS EXIM LIMITED,exact,100.0
INE0K0Y,Marwadi Chandarana Intermediaries Brokers Private Limited,MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED,exact,100.0
INE0K2Q,Seeds Fincap Private Limited,SEEDS FINCAP PRIVATE LIMITED,exact,100.0
INE0K3T,RPSPL Private Limited,RPSPL PVT LTD,exact,100.0
INE0K40,Powered EPC Services Limited,POWERED EPC SERVICES LIMITED,exact,100.0
INE0K4J,Kalpataru Properties Private Limited,KALPATARU PROPERTIES LIMITED,exact,100.0
INE0K4T,Kodad Khammam Road Limited,KODAD KHAMMAM ROAD LIMITED,exact,100.0
INE0K4X,Swelect Renewable Energy Private Limited,SWELECT RENEWABLE ENERGY PRIVATE LIMITED,exact,100.0
INE0K4Y,Swelect Sun Energy Private Limited,SWELECT SUN ENERGY PRIVATE LIMITED,exact,100.0
